순위,종목명,종목코드,시가총액(억원),종가,GC발생일,눌림일,눌림저가,매수신호일,신호유형
1,엔켐,348370,17309,78900,2026-02-04,2026-02-12,77000,2026-02-19,발생(2026.02.19)
2,스튜디오드래곤,253450,13826,45900,2026-01-29,2026-02-03,44850,2026-02-05,발생(2026.02.05)
3,아이쓰리시스템,214430,7752,104900,2026-01-14,2026-01-19,81500,2026-01-20,발생(2026.01.20)
4,안랩,053800,7298,65800,2026-02-12,2026-02-20,64100,2026-02-25,🔔 오늘 신호
5,서울반도체,046890,7212,12370,2026-02-06,2026-02-19,7180,2026-02-20,발생(2026.02.20)
6,시노펙스,025320,6340,6900,2026-02-05,2026-02-11,6760,2026-02-12,발생(2026.02.12)
7,동화기업,025900,5455,10780,2026-02-05,2026-02-13,9830,2026-02-19,발생(2026.02.19)
8,덕산테코피아,317330,4021,19650,2026-02-12,2026-02-20,19150,2026-02-24,발생(2026.02.24)
9,더블유씨피,393890,3523,10470,2026-02-03,2026-02-13,8920,2026-02-20,발생(2026.02.20)
10,필에너지,378340,3509,16380,2026-01-29,2026-02-06,14880,2026-02-09,발생(2026.02.09)
11,흥구석유,024060,3165,21800,2026-01-14,2026-01-20,12890,2026-01-23,발생(2026.01.23)
12,자람테크놀로지,389020,3036,49150,2026-01-26,2026-01-29,39150,2026-02-03,발생(2026.02.03)
13,윤성에프앤씨,372170,2764,34850,2026-02-04,2026-02-09,33500,2026-02-12,발생(2026.02.12)
14,와이씨켐,112290,2573,25500,2026-02-06,2026-02-13,22700,2026-02-19,발생(2026.02.19)
15,지투파워,388050,2211,11620,2026-02-10,2026-02-13,9150,2026-02-19,발생(2026.02.19)
16,아이텍,119830,2065,8570,2026-01-19,2026-01-23,6200,2026-01-27,발생(2026.01.27)
17,HB테크놀러지,078150,1974,2120,2026-01-26,2026-02-02,2030,2026-02-04,발생(2026.02.04)
18,와이솔,122990,1918,7180,2026-02-09,2026-02-12,6290,2026-02-20,발생(2026.02.20)
19,티케이케미칼,104480,1863,2055,2026-02-04,2026-02-11,1772,2026-02-12,발생(2026.02.12)
20,케이엔솔,053080,1808,13910,2026-01-19,2026-01-22,12200,2026-01-26,발생(2026.01.26)
