순위,종목명,종목코드,시가총액(억원),종가,MA20,MA200,MA20_MA200갭(%),골든크로스일
1,엔켐,348370,17430,76800,79985,70720,13.1,2026-02-04
2,스튜디오드래곤,253450,13781,46350,47220,45613,3.52,2026-01-29
3,아이쓰리시스템,214430,7752,109100,115545,86833,33.07,2026-01-14
4,서울반도체,046890,7212,9520,7380,6671,10.63,2026-02-06
5,시노펙스,025320,6395,6970,7138,6429,11.04,2026-02-05
6,동화기업,025900,5510,10390,10142,9172,10.57,2026-02-05
7,덕산테코피아,317330,4085,19820,19284,18348,5.1,2026-02-12
8,더블유씨피,393890,3597,10580,9180,7638,20.18,2026-02-03
9,필에너지,378340,3554,15810,16147,13612,18.62,2026-01-29
10,흥구석유,024060,3172,21750,14950,12693,17.79,2026-01-14
11,자람테크놀로지,389020,3064,51300,43182,39205,10.15,2026-01-26
12,윤성에프앤씨,372170,2804,33650,34645,32095,7.95,2026-02-04
13,와이씨켐,112290,2588,26750,24012,22167,8.33,2026-02-06
14,지투파워,388050,2175,12220,9538,8867,7.57,2026-02-10
15,아이텍,119830,2129,8700,8334,6189,34.67,2026-01-19
16,HB테크놀러지,078150,1970,2190,2130,1965,8.4,2026-01-26
17,와이솔,122990,1920,7090,6303,6098,3.36,2026-02-09
18,티케이케미칼,104480,1867,2060,1860,1677,10.96,2026-02-04
19,케이엔솔,053080,1817,13640,12999,11959,8.7,2026-01-19
20,탑런토탈솔루션,336680,1616,4185,4436,4283,3.57,2026-01-21
21,미래컴퍼니,049950,1558,17400,17650,16614,6.24,2026-01-27
22,아진산업,013310,1435,3575,3492,3082,13.3,2026-01-20
23,케이엔에스,432470,1320,14630,15350,11221,36.8,2026-01-23
24,유아이엘,049520,1318,4085,3818,3445,10.84,2026-01-30
25,서남,294630,1280,4870,3683,2861,28.73,2026-01-28
26,특수건설,026150,1258,7120,6993,6764,3.38,2026-02-12
27,제이아이테크,417500,1209,3655,3451,3310,4.25,2026-02-10
28,티에스아이,277880,1192,5800,5834,5423,7.59,2026-02-03
29,이브이첨단소재,131400,1131,1898,1901,1738,9.38,2026-02-03
30,메가터치,446540,1080,4180,4224,4016,5.18,2026-02-06
31,영화테크,265560,963,8870,8360,7716,8.34,2026-02-02
32,신신제약,002800,934,6260,5894,5719,3.05,2026-01-08
33,우리산업,215360,868,9080,8844,8785,0.67,2026-02-11
34,옵티팜,153710,861,5840,5390,5132,5.04,2026-02-03
35,한켐,457370,853,10640,9849,8832,11.52,2026-01-28
36,큐에스아이,066310,840,8960,8440,7907,6.75,2026-01-27
37,피제이메탈,128660,824,3200,3120,2943,6.04,2026-01-28
38,젠큐릭스,229000,812,2670,1814,1674,8.37,2026-01-15
39,옵트론텍,082210,799,2300,2037,1821,11.84,2026-01-21
40,SG&G,040610,758,2260,1950,1819,7.18,2026-02-06
41,흥국에프엔비,189980,721,1869,1900,1777,6.91,2026-02-10
42,잉크테크,049550,710,3650,3582,3245,10.36,2026-02-06
43,모바일어플라이언스,087260,688,2115,2122,1947,9.0,2026-01-23
44,더라미,032860,603,1537,1717,1369,25.46,2026-01-13
45,머큐리,100590,595,3760,3545,3299,7.48,2026-02-04
46,캐프,198080,544,2530,2462,2338,5.27,2026-01-29
47,픽셀플러스,087600,544,6780,7266,6655,9.19,2026-01-30
48,파라텍,033540,526,1340,1432,1287,11.25,2026-02-10
49,유에스티,263770,516,2175,2126,2057,3.36,2026-02-13
50,DH오토리드,290120,477,2940,2795,2560,9.17,2026-01-12
51,서전기전,189860,472,4705,4347,3693,17.7,2026-01-27
52,유니온바이오메트릭스,203450,465,3320,3391,3154,7.5,2026-01-23
53,율촌,146060,435,1902,1753,1352,29.63,2026-01-09
54,디케이앤디,263020,426,3080,3047,3028,0.63,2026-02-12
55,모헨즈,006920,421,3630,3359,3185,5.46,2026-01-12
56,엑스큐어,070300,397,1681,1845,1546,19.4,2026-01-23
57,신화콘텍,187270,395,3890,3775,3486,8.29,2026-02-02
58,넥스턴앤롤코리아,089140,395,2710,2616,2499,4.68,2026-02-06
59,인콘,083640,383,449,412,316,30.41,2026-02-05
60,에스에이티,060540,360,1380,1346,1331,1.14,2026-01-12
61,에스에너지,095910,320,1434,1401,1313,6.7,2026-02-13
62,제이엠아이,033050,291,885,860,844,1.89,2026-02-11
63,하나34호스팩,484130,94,2075,2077,2061,0.75,2026-01-30
64,에스케이증권제13호스팩,473950,91,2062,2053,2041,0.63,2026-02-05
