순위,종목코드,종목명,시가총액(억원),종가(원)
1,086520,에코프로,232584,171300
2,196170,알테오젠,215093,402000
3,247540,에코프로비엠,209346,214000
4,000250,삼천당제약,150831,643000
5,277810,레인보우로보틱스,138126,712000
6,298380,에이비엘바이오,103959,188000
7,214370,케어젠,80626,150100
8,950160,코오롱티슈진,75398,90600
9,058470,리노공업,73544,96500
10,028300,HLB,71217,53500
11,087010,펩트론,64239,275500
12,141080,리가켐바이오,63409,173200
13,240810,원익IPS,58557,119300
14,039030,이오테크닉스,45890,372500
15,214150,클래시스,45526,69500
16,310210,보로노이,43316,235500
17,140410,메지온,42854,141100
18,108490,로보티즈,40945,279500
19,095340,ISC,39638,187000
20,403870,HPSP,38555,45900
21,347850,디앤디파마텍,36961,84900
22,214450,파마리서치,36259,349000
23,263750,펄어비스,33794,52600
24,0009K0,에임드바이오,32982,51000
25,068760,셀트리온제약,32848,75200
26,357780,솔브레인,32475,417500
27,145020,휴젤,31867,259000
28,237690,에스티팜,31153,150000
29,084370,유진테크,31051,135500
30,319400,현대무벡스,30572,27450
31,058610,에스피지,29429,132700
32,290650,엘앤씨바이오,29388,118300
33,005290,동진쎄미켐,28123,54700
34,083650,비에이치아이,27323,88300
35,030530,원익홀딩스,26917,34850
36,257720,실리콘투,26609,43500
37,036930,주성엔지니어링,26375,55800
38,226950,올릭스,26267,130100
39,041510,에스엠,26260,114700
40,440110,파두,25340,51200
41,035900,JYP Ent.,25157,70800
42,032820,우리기술,24765,14850
43,064760,티씨케이,23868,213500
44,475830,오름테라퓨틱,23291,109700
45,067310,하나마이크론,23145,34850
46,323280,태성,21926,71800
47,098460,고영,21900,31900
48,178320,서진시스템,21819,37750
49,347700,스피어,21540,45650
50,065350,신성델타테크,20997,76400
51,160190,하이젠알앤엠,20818,67400
52,039200,오스코텍,20774,54300
53,491000,리브스메드,20511,82200
54,101490,에스앤에스텍,20246,94900
55,082270,젬백스,19931,46700
56,140860,파크시스템스,19590,280000
57,085660,차바이오텍,19589,21400
58,099320,쎄트렉아이,19548,178500
59,031980,피에스케이홀딩스,19535,90600
60,222800,심텍,19156,51300
61,458870,씨어스테크놀로지,19125,151000
62,476830,알지노믹스,19075,136900
63,445680,큐리옥스바이오시스템즈,19020,111100
64,003380,하림지주,18660,16660
65,319660,피에스케이,17553,60600
66,348370,엔켐,17545,80300
67,232140,와이씨,17475,21300
68,090710,휴림로봇,17070,14290
69,089030,테크윙,17063,46050
70,466100,클로봇,16819,67300
71,218410,RFHIC,16750,63200
72,035760,CJ ENM,16556,75500
73,043260,성호전자,16312,23000
74,195940,HK이노엔,16119,56900
75,060370,LS마린솔루션,15985,30600
76,080220,제주반도체,15740,45700
77,038500,삼표시멘트,15658,14510
78,437730,삼현,15584,49150
79,397030,에이프릴바이오,15429,66100
80,007390,네이처셀,15271,23700
81,281740,레이크머티리얼즈,15085,22950
82,456160,지투지바이오,14696,89500
83,388210,씨엠티엑스,14510,152500
84,096530,씨젠,14336,27450
85,078600,대주전자재료,14304,92400
86,095610,테스,14287,73800
87,253450,스튜디오드래곤,14157,47100
88,293490,카카오게임즈,14105,15710
89,388720,유일로보틱스,13954,119300
90,056080,유진로봇,13917,37100
91,122870,와이지엔터테인먼트,13700,73300
92,048410,현대바이오,13128,13670
93,189300,인텔리안테크,13046,121500
94,137400,피엔티,12627,53300
95,328130,루닛,12621,43100
96,171090,선익시스템,12579,131000
97,204270,제이앤티씨,12524,21650
98,100790,미래에셋벤처투자,12378,23300
99,131970,두산테스나,12369,64000
100,166090,하나머티리얼즈,12183,61600
101,036540,SFA반도체,12022,7310
102,115180,큐리언트,12012,32300
103,127120,제이에스링크,11968,36500
104,183300,코미코,11705,111900
105,161580,필옵틱스,11479,49050
106,032190,다우데이타,11451,29900
107,056190,에스에프에이,11347,31600
108,036830,솔브레인홀딩스,11299,53900
109,006730,서부T&D,11199,17250
110,124500,아이티센글로벌,11068,47700
111,417200,LS머트리얼즈,10892,16100
112,241710,코스메카코리아,10829,101400
113,213420,덕산네오룩스,10826,43600
114,174900,앱클론,10819,54300
115,222080,씨아이에스,10711,13830
116,014620,성광벤드,10649,40100
117,131290,티에스이,10043,90800
118,376300,디어유,10017,42200
119,295310,에이치브이엠,9878,83000
120,490470,세미파이브,9682,28650
121,086900,메디톡스,9648,132200
122,348340,뉴로메카,9642,78000
123,036810,에프에스티,9605,43750
124,082920,비츠로셀,9521,21000
125,112040,위메이드,9471,27900
126,052400,코나아이,9407,64600
127,358570,지아이이노베이션,9338,14620
128,086450,동국제약,9272,20500
129,389470,인벤티지랩,9238,70200
130,060250,NHN KCP,9156,22800
131,033500,동성화인텍,8876,29600
132,033100,제룡전기,8737,54400
133,214430,아이쓰리시스템,8732,119500
134,121600,나노신소재,8694,71200
135,376900,로킷헬스케어,8676,55400
136,032500,케이엠더블유,8632,20950
137,089970,브이엠,8617,35300
138,102710,이엔에프테크놀로지,8601,60200
139,042000,카페24,8561,35300
140,009520,포스코엠텍,8495,20400
141,476060,온코닉테라퓨틱스,8479,18890
142,348210,넥스틴,8475,80900
143,078160,메디포스트,8409,21450
144,025980,아난티,8333,8800
145,074600,원익QnC,8280,31500
146,023160,태광,8175,30850
147,365340,성일하이텍,8136,66500
148,225570,넥슨게임즈,8054,12230
149,067160,SOOP,8046,70000
150,399720,가온칩스,7830,67500
151,102940,코오롱생명과학,7783,60100
152,475960,토모큐브,7668,57300
153,383310,에코프로에이치엔,7634,36400
154,211050,인카금융서비스,7616,15460
155,287840,인투셀,7596,50600
156,126340,비나텍,7548,112100
157,090360,로보스타,7507,77000
158,486990,노타,7506,35200
159,420770,기가비스,7478,59000
160,372320,큐로셀,7374,51000
161,468530,프로티나,7373,67400
162,336570,원텍,7341,8160
163,044490,태웅,7282,36400
164,053800,안랩,7243,65100
165,272290,이녹스첨단소재,7173,36000
166,060280,큐렉소,7161,17430
167,253590,네오셈,7111,16210
168,041190,우리기술투자,7106,8460
169,460930,현대힘스,7087,19960
170,251970,펌텍코리아,7068,57000
171,099190,아이센스,7026,25450
172,042520,한스바이오메드,6988,49000
173,015750,성우하이텍,6928,8660
174,018290,브이티,6726,19250
175,064260,다날,6701,8890
176,084110,휴온스글로벌,6697,52900
177,125490,한라캐스트,6679,18300
178,252990,샘씨엔에스,6654,11050
179,025320,시노펙스,6570,7130
180,094170,동운아나텍,6544,31300
181,053610,프로텍,6523,59300
182,119850,지엔씨에너지,6423,39050
183,424870,이뮨온시아,6341,8550
184,278280,천보,6330,53000
185,041960,코미팜,6272,8490
186,478340,나라스페이스테크놀로지,6262,54300
187,494120,큐리오시스,6245,82000
188,006910,보성파워텍,6229,12680
189,093320,케이아이엔엑스,6212,127300
190,318060,그래피,6175,55500
191,356860,티엘비,6076,61800
192,036620,감성코퍼레이션,6072,6710
193,488900,비츠로넥스텍,6012,20750
194,052020,에스티큐브,6002,8830
195,027360,아주IB투자,5984,4940
196,095660,네오위즈,5945,27200
197,077360,덕산하이메탈,5861,12900
198,376270,HEM파마,5838,81300
199,389650,넥스트바이오메디컬,5824,71000
200,050890,쏠리드,5802,9550
201,200710,에이디테크놀로지,5759,42850
202,030520,한글과컴퓨터,5694,23550
203,059090,미코,5657,16930
204,0001A0,덕양에너젠,5627,22700
205,101730,위메이드맥스,5623,6710
206,104830,원익머트리얼즈,5604,44450
207,039440,에스티아이,5520,35600
208,083450,GST,5501,29850
209,079370,제우스,5427,17500
210,010170,대한광통신,5424,4110
211,089010,켐트로닉스,5391,33000
212,425420,티에프이,5364,44850
213,047920,HLB제약,5359,16340
214,045100,한양이엔지,5355,29750
215,450950,아스테라시스,5296,14120
216,220100,퓨쳐켐,5292,23600
217,114810,한솔아이원스,5264,18410
218,484590,삼양컴텍,5209,12640
219,455900,엔젤로보틱스,5204,34200
220,034950,한국기업평가,5171,113900
221,228760,지노믹트리,5171,21000
222,117730,티로보틱스,5168,23300
223,308430,셀비온,5151,40150
224,187660,현대ADM,5147,9280
225,058970,엠로,5111,41350
226,206650,유바이오로직스,5068,13820
227,025900,동화기업,5055,10000
228,180400,DXVX,5029,5110
229,215600,신라젠,5027,3640
230,031330,에스에이엠티,5019,5020
231,067630,HLB생명과학,4962,4070
232,230360,에코마케팅,4938,15930
233,215200,메가스터디교육,4923,47500
234,053030,바이넥스,4918,15050
235,069080,웹젠,4906,14180
236,049630,재영솔루텍,4903,4195
237,200670,휴메딕스,4856,43250
238,199800,툴젠,4773,53100
239,041920,메디아나,4751,25550
240,122640,예스티,4750,22250
241,368770,파이버프로,4727,14390
242,304360,에스바이오메딕스,4700,37950
243,101160,월덱스,4680,28350
244,041830,인바디,4637,34400
245,448900,한국피아이엠,4629,77100
246,099440,스맥,4579,6710
247,179900,유티아이,4541,22950
248,078020,LS증권,4527,8160
249,474650,링크솔루션,4504,80100
250,086390,유니테스트,4491,21250
251,024850,HLB이노베이션,4483,3040
252,0015G0,그린광학,4464,38150
253,340570,티앤엘,4454,54800
254,013030,하이록코리아,4436,37700
255,394280,오픈엣지테크놀로지,4409,16780
256,168360,펨트론,4396,20650
257,094480,갤럭시아머니트리,4393,11200
258,078340,컴투스,4389,36300
259,079940,가비아,4375,32600
260,003800,에이스침대,4375,39450
261,107640,한중엔시에스,4346,47950
262,298830,슈어소프트테크,4346,8130
263,394800,쓰리빌리언,4344,13680
264,091700,파트론,4339,7890
265,046890,서울반도체,4332,7430
266,098070,한텍,4326,38900
267,194480,데브시스터즈,4324,35650
268,352480,씨앤씨인터내셔널,4307,31600
269,475400,씨메스,4296,36550
270,200130,콜마비앤에이치,4282,14560
271,441270,파인엠텍,4170,10270
272,314930,바이오다인,4158,13970
273,462350,이노스페이스,4140,20050
274,114190,강원에너지,4124,15790
275,033790,피노,4102,6030
276,033640,네패스,4099,17780
277,338840,와이바이오로직스,4082,26900
278,309710,아이티켐,4064,31800
279,354320,알멕,4032,63100
280,051500,CJ프레시웨이,4012,33800
281,064820,케이프,4007,12970
282,094360,칩스앤미디어,3994,18770
283,241520,DSC인베스트먼트,3971,14710
284,078350,한양디지텍,3948,25900
285,317330,덕산테코피아,3923,19160
286,110990,디아이티,3912,20700
287,101930,인화정공,3891,42150
288,060720,KH바텍,3887,16420
289,092870,엑시콘,3863,29600
290,023410,유진기업,3861,4995
291,144510,지씨셀,3847,24350
292,014940,오리엔탈정공,3837,8420
293,035810,이지홀딩스,3832,5940
294,371950,풍원정밀,3825,16880
295,215000,골프존,3815,60800
296,327260,RF머트리얼즈,3798,45000
297,089980,상아프론테크,3797,23750
298,101360,에코앤드림,3752,21100
299,037460,삼지전자,3745,22950
300,012210,삼미금속,3739,16850
301,035890,서희건설,3729,1623
302,199430,케이엔알시스템,3728,33900
303,089890,코세스,3723,22450
304,023760,한국캐피탈,3711,1176
305,204620,글로벌텍스프리,3710,5280
306,078130,국일제지,3686,327
307,419530,SAMG엔터,3669,37350
308,0007C0,아크릴,3645,45400
309,065660,안트로젠,3637,36350
310,459510,나우로보틱스,3627,28000
311,389260,대명에너지,3610,20150
312,138610,나이벡,3580,31500
313,472850,폰드그룹,3569,6200
314,216080,제테마,3564,9900
315,200470,에이팩트,3558,8400
316,036890,진성티이씨,3556,16140
317,236200,슈프리마,3545,48850
318,234340,헥토파이낸셜,3534,25300
319,093520,매커스,3526,24900
320,389500,에스비비테크,3521,55600
321,095500,미래나노텍,3510,11320
322,416180,신성에스티,3498,38700
323,274090,켄코아에어로스페이스,3497,25800
324,080580,오킨스전자,3492,16970
325,243070,휴온스,3492,29150
326,365270,큐라클,3490,16500
327,445090,에이직랜드,3490,31950
328,049070,인탑스,3483,20250
329,136480,하림,3473,3270
330,265520,AP시스템,3446,22900
331,294570,쿠콘,3446,34150
