순위,종목명,종목코드,시가총액(억원),종가,GC발생일,눌림일,눌림저가,매수신호일,신호유형
1,SK이노베이션,096770,221121,130700,2026-01-29,2026-02-03,106500,2026-02-04,발생(2026.02.04)
2,아모레퍼시픽,090430,91658,156700,2026-02-02,2026-02-06,130500,2026-02-09,발생(2026.02.09)
3,한화비전,489790,43773,92300,2026-02-02,2026-02-11,58500,2026-02-12,발생(2026.02.12)
4,한샘,009240,12119,51700,2026-02-03,2026-02-06,42950,2026-02-09,발생(2026.02.09)
5,신한알파리츠,293940,7074,5830,2026-01-23,2026-01-28,5710,2026-01-29,발생(2026.01.29)
6,PI첨단소재,178920,6225,21150,2026-02-12,2026-02-23,18500,2026-02-24,발생(2026.02.24)
7,유니드,014830,5664,83500,2026-02-12,2026-02-20,79700,2026-02-23,발생(2026.02.23)
8,NICE,034310,5509,14990,2026-01-30,2026-02-06,13170,2026-02-10,발생(2026.02.10)
9,수산인더스트리,126720,4107,28750,2026-01-21,2026-01-30,24400,2026-02-03,발생(2026.02.03)
10,국도화학,007690,3690,39750,2026-02-02,2026-02-06,36650,2026-02-10,발생(2026.02.10)
11,퍼스텍,010820,3423,7000,2026-01-23,2026-01-29,4260,2026-02-02,발생(2026.02.02)
12,삼영전자,005680,2534,12660,2026-02-04,2026-02-13,11350,2026-02-19,발생(2026.02.19)
13,동성케미컬,102260,2232,4445,2026-02-04,2026-02-09,4280,2026-02-10,발생(2026.02.10)
14,알루코,001780,2217,2290,2026-02-05,2026-02-10,2210,2026-02-11,발생(2026.02.11)
15,한신기계,011700,1654,5060,2026-01-26,2026-02-06,3900,2026-02-09,발생(2026.02.09)
16,태림포장,011280,1518,2135,2026-01-13,2026-01-19,2045,2026-01-20,발생(2026.01.20)
17,화천기계,010660,1368,6190,2026-01-27,2026-02-09,5460,2026-02-11,발생(2026.02.11)
18,대창,012800,1368,1495,2026-01-21,2026-01-26,1363,2026-01-29,발생(2026.01.29)
19,광전자,017900,1170,2010,2026-02-09,2026-02-12,1921,2026-02-19,발생(2026.02.19)
20,아남전자,008700,1005,1301,2026-01-21,2026-01-26,1391,2026-01-27,발생(2026.01.27)
21,케이비아이동국실업,001620,815,735,2026-01-14,2026-01-23,519,2026-01-28,발생(2026.01.28)
22,혜인,003010,715,5640,2026-02-06,2026-02-19,5460,2026-02-23,발생(2026.02.23)
23,DSR,155660,641,4010,2026-02-10,2026-02-13,3900,2026-02-19,발생(2026.02.19)
24,미래아이앤지,007120,371,1300,2026-01-14,2026-01-19,960,2026-01-20,발생(2026.01.20)
