순위,종목명,종목코드,시가총액(억원),종가,MA20,MA200,MA20_MA200갭(%),골든크로스일
1,SK이노베이션,096770,221797,131500,115665,108138,6.96,2026-01-29
2,아모레퍼시픽,090430,91833,156800,148640,128546,15.63,2026-02-02
3,한화비전,489790,38270,75900,62100,53321,16.46,2026-02-02
4,한샘,009240,11814,50350,46505,44913,3.54,2026-02-03
5,신한알파리츠,293940,7147,5890,5836,5617,3.9,2026-01-23
6,PI첨단소재,178920,6137,20650,18781,17522,7.18,2026-02-12
7,유니드,014830,5684,84100,81315,78264,3.9,2026-02-12
8,NICE,034310,5616,15190,14106,13236,6.58,2026-01-30
9,수산인더스트리,126720,4192,29150,26525,23203,14.32,2026-01-21
10,국도화학,007690,3759,40700,38172,35236,8.34,2026-02-02
11,퍼스텍,010820,3531,7240,5177,4280,20.95,2026-01-23
12,삼영전자,005680,2548,12740,11820,10858,8.86,2026-02-04
13,동성케미컬,102260,2283,4545,4400,4229,4.04,2026-02-04
14,알루코,001780,2241,2305,2279,2204,3.42,2026-02-05
15,한신기계,011700,1696,5250,4518,3565,26.74,2026-01-26
16,태림포장,011280,1550,2200,2114,2020,4.62,2026-01-13
17,대창,012800,1427,1564,1426,1343,6.17,2026-01-21
18,화천기계,010660,1364,6200,5924,4971,19.19,2026-01-27
19,광전자,017900,1205,2040,1950,1899,2.69,2026-02-09
20,케이비아이동국실업,001620,861,786,594,503,18.2,2026-01-14
21,혜인,003010,730,5715,5460,5305,2.92,2026-02-06
22,DSR,155660,658,4110,3968,3868,2.6,2026-02-10
23,미래아이앤지,007120,381,1283,1154,979,17.87,2026-01-14
