순위,종목코드,종목명,시가총액(억원),종가(원)
1,005930,삼성전자,11253231,190100
2,000660,SK하이닉스,6908742,949000
3,005935,삼성전자우,1102381,135100
4,005380,현대차,1042217,509000
5,373220,LG에너지솔루션,939510,401500
6,207940,삼성바이오로직스,803610,1736000
7,402340,SK스퀘어,766105,580000
8,000270,기아,670729,171800
9,034020,두산에너빌리티,662980,103500
10,012450,한화에어로스페이스,640417,1242000
11,329180,HD현대중공업,631866,602000
12,105560,KB금융,629371,168800
13,028260,삼성물산,562622,331000
14,068270,셀트리온,559136,242000
15,055550,신한지주,495204,102000
16,042660,한화오션,459313,149900
17,032830,삼성생명,438000,219000
18,015760,한국전력,404437,63000
19,006800,미래에셋증권,402063,70900
20,012330,현대모비스,401945,443000
21,035420,NAVER,399189,254500
22,086790,하나금융지주,365441,131300
23,267260,HD현대일렉트릭,364436,1011000
24,010130,고려아연,347117,1663000
25,006400,삼성SDI,323953,402000
26,009540,HD한국조선해양,319894,452000
27,005490,POSCO홀딩스,318875,394000
28,316140,우리금융지주,299503,40800
29,000810,삼성화재,284348,618000
30,009150,삼성전기,281595,377000
31,034730,SK,276597,381500
32,010140,삼성중공업,259600,29500
33,035720,카카오,256268,57900
34,138040,메리츠금융지주,256174,146200
35,298040,효성중공업,245515,2633000
36,064350,현대로템,240113,220000
37,051910,LG화학,237896,337000
38,267250,HD현대,230659,292000
39,024110,기업은행,227665,28550
40,272210,한화시스템,220091,116500
41,011200,HMM,218359,23150
42,096770,SK이노베이션,215711,127600
43,033780,KT&G,208936,177100
44,010120,LS ELECTRIC,207300,691000
45,003670,포스코퓨처엠,207244,233000
46,086280,현대글로비스,202500,270000
47,066570,LG전자,201327,123600
48,042700,한미반도체,191100,200500
49,030200,KT,173642,68900
50,017670,SK텔레콤,173550,80800
51,047810,한국항공우주,173408,177900
52,352820,하이브,171512,398500
53,000150,두산,169549,1047000
54,071050,한국금융지주,162998,292500
55,0126Z0,삼성에피스홀딩스,152533,613000
56,003550,LG,151908,98500
57,000720,현대건설,142869,128300
58,005940,NH투자증권,139686,39200
59,323410,카카오뱅크,136902,28700
60,010950,S-Oil,135099,120000
61,039490,키움증권,134340,495500
62,005830,DB손해보험,133425,192300
63,018260,삼성에스디에스,133321,172300
64,047050,포스코인터내셔널,132469,75300
65,259960,크래프톤,123486,260500
66,307950,현대오토에버,119020,434000
67,278470,에이피알,107994,288500
68,079550,LIG넥스원,107030,486500
69,016360,삼성증권,102248,114500
70,180640,한진칼,99008,148300
71,005387,현대차2우B,97899,280000
72,000880,한화,95047,126800
73,161390,한국타이어앤테크놀로지,93649,75600
74,003490,대한항공,92607,25150
75,090430,아모레퍼시픽,91248,156000
76,009830,한화솔루션,91103,53000
77,377300,카카오페이,91091,67400
78,000100,유한양행,89046,111800
79,003230,삼양식품,87684,1164000
80,326030,SK바이오팜,87554,111800
81,006260,LS,80993,255500
82,443060,HD현대마린솔루션,79485,177300
83,128940,한미약품,78147,610000
84,029780,삼성카드,78088,67400
85,032640,LG유플러스,75219,17500
86,007660,이수페타시스,73776,100500
87,175330,JB금융지주,71206,37500
88,078930,GS,70336,75700
89,138930,BNK금융지주,70289,22650
90,028050,삼성E&A,69776,35600
91,267270,HD건설기계,69562,145000
92,064400,LG씨엔에스,69370,71600
93,034220,LG디스플레이,66550,13310
94,001040,CJ,65794,225500
95,454910,두산로보틱스,65144,100500
96,005385,현대차우,65121,279000
97,241560,두산밥캣,62785,65500
98,021240,코웨이,62776,87300
99,052690,한전기술,62413,163300
100,001440,대한전선,61341,32900
101,011070,LG이노텍,60587,256000
102,022100,포스코DX,58533,38500
103,088350,한화생명,57322,6600
104,088980,맥쿼리인프라,56656,11830
105,271560,오리온,55152,139500
106,004020,현대제철,51977,38950
107,002380,KCC,51808,583000
108,018880,한온시스템,50748,4945
109,036570,엔씨소프트,49982,232000
110,251270,넷마블,49251,57300
111,082740,한화엔진,47898,57400
112,450080,에코프로머티,47274,67000
113,066970,엘앤에프,46154,114700
114,062040,산일전기,45695,149600
115,031210,서울보증보험,43289,62000
116,017800,현대엘리베이터,43079,110200
117,036460,한국가스공사,42094,45600
118,011790,SKC,42033,111000
119,051900,LG생활건강,41775,273000
120,035250,강원랜드,41483,19390
121,000990,DB하이텍,40459,93000
122,001720,신영증권,39949,243000
123,302440,SK바이오사이언스,38982,49700
124,111770,영원무역,38462,86800
125,004990,롯데지주,38239,36450
126,011780,금호석유화학,37876,145500
127,011170,롯데케미칼,36444,85200
128,014680,한솔케미칼,34969,308500
129,012750,에스원,34959,92000
130,139130,iM금융지주,34775,21650
131,001450,현대해상,34687,38800
132,103590,일진전기,34381,72100
133,004170,신세계,33902,351500
134,097950,CJ제일제당,33269,221000
135,000240,한국앤컴퍼니,32895,34650
136,047040,대우건설,32418,7800
137,103140,풍산,32311,115300
138,000120,CJ대한통운,31663,138800
139,439260,대한조선,31398,81500
140,023530,롯데쇼핑,31032,109700
141,489790,한화비전,30797,61000
142,00680K,미래에셋증권2우B,30752,22500
143,071970,HD현대마린엔진,30597,90200
144,139480,이마트,30548,110700
145,009970,영원무역홀딩스,30440,225500
146,457190,이수스페셜티케미컬,29639,98100
147,012510,더존비즈온,29167,96000
148,026960,동서,29112,29200
149,008930,한미사이언스,29100,42550
150,353200,대덕전자,28859,58400
151,009420,한올바이오파마,28784,55100
152,028670,팬오션,28599,5350
153,010060,OCI홀딩스,28453,152400
154,005850,에스엘,28380,61100
155,051600,한전KPS,28260,62800
156,204320,HL만도,28080,59800
157,004800,효성,28073,167700
158,081660,미스토홀딩스,27660,52100
159,003690,코리안리,27391,14060
160,023590,다우기술,27009,60200
161,004370,농심,26915,442500
162,383220,F&F,26891,70200
163,002790,아모레퍼시픽홀딩스,26856,33800
164,001430,세아베스틸지주,26645,74300
165,030000,제일기획,25826,22450
166,003540,대신증권,24878,49000
167,097230,HJ중공업,24244,26850
