종목코드,순위,종목명,시가총액(억원),종가,거래량_최근,MA5,MA20,MA비율(단기/장기)
005930,1,삼성전자,11253231,190100,23232380,29758443,30977315,0.961
000660,2,SK하이닉스,6908742,949000,4966832,3906184,4867045,0.803
005935,3,삼성전자우,1102381,135100,4710073,5038904,4475078,1.126
005380,4,현대차,1042217,509000,1251057,1861879,3090479,0.602
373220,5,LG에너지솔루션,939510,401500,218888,315738,428789,0.736
207940,6,삼성바이오로직스,803610,1736000,32554,34875,60536,0.576
402340,7,SK스퀘어,766105,580000,729730,564844,741975,0.761
000270,8,기아,670729,171800,1073543,1366149,1772766,0.771
034020,9,두산에너빌리티,662980,103500,12068653,9361126,7941310,1.179
012450,10,한화에어로스페이스,640417,1242000,441855,265648,253159,1.049
329180,11,HD현대중공업,631866,602000,333710,264683,251463,1.053
105560,12,KB금융,629371,168800,1320686,1827248,1524616,1.198
028260,13,삼성물산,562622,331000,512542,498569,454251,1.098
068270,14,셀트리온,559136,242000,466934,875480,857308,1.021
055550,15,신한지주,495204,102000,1537270,2166226,1744169,1.242
042660,16,한화오션,459313,149900,4322685,2060353,2080910,0.99
032830,17,삼성생명,438000,219000,527820,353197,365421,0.967
015760,18,한국전력,404437,63000,2848102,2600547,3967449,0.655
006800,19,미래에셋증권,402063,70900,7068673,9631149,9682676,0.995
012330,20,현대모비스,401945,443000,223579,284444,472486,0.602
035420,21,NAVER,399189,254500,948164,1022504,1972886,0.518
086790,22,하나금융지주,365441,131300,1128102,1271873,1015905,1.252
267260,23,HD현대일렉트릭,364436,1011000,163223,159357,175795,0.906
010130,24,고려아연,347117,1663000,23905,35381,62885,0.563
006400,25,삼성SDI,323953,402000,927801,707610,1450665,0.488
009540,26,HD한국조선해양,319894,452000,367465,251376,243128,1.034
005490,27,POSCO홀딩스,318875,394000,461522,663260,796480,0.833
316140,28,우리금융지주,299503,40800,2372083,3703191,2543873,1.456
000810,29,삼성화재,284348,618000,169845,161900,116749,1.387
009150,30,삼성전기,281595,377000,1178096,792571,788010,1.006
034730,31,SK,276597,381500,308082,291545,273001,1.068
010140,32,삼성중공업,259600,29500,4743764,3882705,4721052,0.822
035720,33,카카오,256268,57900,1948447,3331460,3219846,1.035
138040,34,메리츠금융지주,256174,146200,756948,527053,391405,1.347
298040,35,효성중공업,245515,2633000,75808,48756,68508,0.712
064350,36,현대로템,240113,220000,785779,579145,910900,0.636
051910,37,LG화학,237896,337000,236523,395217,420102,0.941
267250,38,HD현대,230659,292000,242374,259874,209375,1.241
024110,39,기업은행,227665,28550,1678913,1763466,1525612,1.156
272210,40,한화시스템,220091,116500,3700948,1664158,2995622,0.556
011200,41,HMM,218359,23150,2619449,2845766,2324649,1.224
096770,42,SK이노베이션,215711,127600,1147343,574005,551435,1.041
033780,43,KT&G,208936,177100,341401,323480,375982,0.86
010120,44,LS ELECTRIC,207300,691000,110454,137638,246338,0.559
003670,45,포스코퓨처엠,207244,233000,236317,371061,586013,0.633
086280,46,현대글로비스,202500,270000,258612,308679,500668,0.617
066570,47,LG전자,201327,123600,1906702,4873306,2172486,2.243
042700,48,한미반도체,191100,200500,836127,1841720,1951482,0.944
030200,49,KT,173642,68900,665768,661780,560020,1.182
017670,50,SK텔레콤,173550,80800,1296944,2097655,2063647,1.016
047810,51,한국항공우주,173408,177900,736498,1107235,1001232,1.106
352820,52,하이브,171512,398500,225471,350637,389111,0.901
000150,53,두산,169549,1047000,125520,175441,155573,1.128
071050,54,한국금융지주,162998,292500,497459,533677,364702,1.463
0126Z0,55,삼성에피스홀딩스,152533,613000,56805,101430,128636,0.789
003550,56,LG,151908,98500,283922,407664,365255,1.116
000720,57,현대건설,142869,128300,1507742,1626681,1757570,0.926
005940,58,NH투자증권,139686,39200,4571969,2589112,1504546,1.721
323410,59,카카오뱅크,136902,28700,2106790,2212614,3708310,0.597
010950,60,S-Oil,135099,120000,386103,329701,349139,0.944
039490,61,키움증권,134340,495500,205584,206495,196411,1.051
005830,62,DB손해보험,133425,192300,332068,276412,259605,1.065
018260,63,삼성에스디에스,133321,172300,279236,184795,236532,0.781
047050,64,포스코인터내셔널,132469,75300,2049003,1278296,1010614,1.265
259960,65,크래프톤,123486,260500,102902,139609,159554,0.875
307950,66,현대오토에버,119020,434000,88808,143242,255174,0.561
278470,67,에이피알,107994,288500,409161,473337,745364,0.635
079550,68,LIG넥스원,107030,486500,237683,156391,152584,1.025
016360,69,삼성증권,102248,114500,1251086,978324,705469,1.387
180640,70,한진칼,99008,148300,130895,156797,116113,1.35
005387,71,현대차2우B,97899,280000,193102,187487,357606,0.524
000880,72,한화,95047,126800,846432,450631,495013,0.91
161390,73,한국타이어앤테크놀로지,93649,75600,412855,455630,406940,1.12
003490,74,대한항공,92607,25150,2171391,2679036,2824437,0.949
090430,75,아모레퍼시픽,91248,156000,264497,294390,480052,0.613
009830,76,한화솔루션,91103,53000,7659000,10435206,11804181,0.884
377300,77,카카오페이,91091,67400,1329367,866719,2344936,0.37
000100,78,유한양행,89046,111800,244964,387346,410202,0.944
003230,79,삼양식품,87684,1164000,43341,57990,69484,0.835
326030,80,SK바이오팜,87554,111800,158866,241920,256422,0.943
006260,81,LS,80993,255500,171034,236532,260945,0.906
443060,82,HD현대마린솔루션,79485,177300,134233,206483,174514,1.183
128940,83,한미약품,78147,610000,59685,113293,185592,0.61
029780,84,삼성카드,78088,67400,153601,154205,106560,1.447
032640,85,LG유플러스,75219,17500,889553,1083066,1078894,1.004
007660,86,이수페타시스,73776,100500,958853,1170345,1433001,0.817
175330,87,JB금융지주,71206,37500,1004175,1436276,835917,1.718
078930,88,GS,70336,75700,352779,296261,303679,0.976
138930,89,BNK금융지주,70289,22650,1446489,1906504,1343942,1.419
028050,90,삼성E&A,69776,35600,782398,843751,1396697,0.604
267270,91,HD건설기계,69562,145000,387788,765031,812065,0.942
064400,92,LG씨엔에스,69370,71600,1236598,1257574,2147865,0.585
034220,93,LG디스플레이,66550,13310,22290175,8340113,4244800,1.965
001040,94,CJ,65794,225500,116765,137392,158614,0.866
454910,95,두산로보틱스,65144,100500,201408,281734,821012,0.343
